text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: [user]: Can you help me understand concept? | [assistant]: I'm doing well, thank you for asking! | Turn 4, Budget: minimal | Current: [user]: Perfect",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_2237,4,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7077324443759144,"{""template"": ""casual_chat"", ""turn_ratio"": 0.5, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_9982,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.701491274812268,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: Can you help me understand concept? | [assistant]: Feel free to ask if you have more questions. | Turn 4, Budget: minimal | Current: [user]: Perfect",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_8940,4,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.764559732416988,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_1791,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7812300073257037,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: Can you explain topic in simple terms? | [assistant]: That's an important consideration. | Turn 2, Budget: standard | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 1.0, 0.0]",educational_qa_1701,2,user,I'm particularly interested in aspect,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5180240999040628,"{""template"": ""educational_qa"", ""turn_ratio"": 0.25, ""content_length"": 37}"
"Context: [assistant]: Nice to meet you! New York is a great place for consultants. | [user]: That's very helpful | Turn 5, Budget: standard | Current: [assistant]: Working at TechCorp must be exciting.",0,store,"[5.0, 37.0, 6.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_9423,5,assistant,Working at TechCorp must be exciting.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7672613863530603,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.45454545454545453, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: What's the difference between term1 and term2?",0,store,"[0.0, 46.0, 7.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0]",educational_qa_2241,0,user,What's the difference between term1 and term2?,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.660159665765065,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 46}"
"Context: [user]: Alright | [assistant]: I'm doing well, thank you for asking! | Turn 2, Budget: minimal | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_1791,2,user,I'm particularly interested in aspect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.06275518358578891,"{""template"": ""casual_chat"", ""turn_ratio"": 0.2857142857142857, ""content_length"": 37}"
"Context: [user]: Can you explain how technology works in context? | Turn 1, Budget: premium | Current: [assistant]: Based on your product manager background, I'd suggest...",0,store,"[1.0, 56.0, 8.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_1148,1,assistant,"Based on your product manager background, I'd suggest...",technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7705804009619189,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.1, ""content_length"": 56}"
"Context: [user]: I see | [assistant]: I'm doing well, thank you for asking! | Turn 2, Budget: minimal | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_6316,2,user,I'm particularly interested in aspect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.14548031346667503,"{""template"": ""casual_chat"", ""turn_ratio"": 0.25, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_8940,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6427912441186774,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
