text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: I see",2,drop,"[0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_3787,0,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6230997802393112,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 5}"
"Context: [user]: I appreciate your help | [assistant]: That's an important consideration. | Turn 12, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[12.0, 27.0, 4.0, 0.0, 0.9230769230769231, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_8667,12,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6093310304125298,"{""template"": ""business_consultation"", ""turn_ratio"": 0.9230769230769231, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: I see",2,drop,"[0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_3428,0,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.748571173170251,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 5}"
"Context: [assistant]: I understand your situation. | [user]: I'm particularly interested in aspect | Turn 3, Budget: standard | Current: [assistant]: I can help you with that.",0,store,"[3.0, 25.0, 6.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_5469,3,assistant,I can help you with that.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5124442328137055,"{""template"": ""educational_qa"", ""turn_ratio"": 0.3, ""content_length"": 25}"
"Context: [user]: When I try to action, I get error | Turn 1, Budget: standard | Current: [assistant]: That's an important consideration.",0,store,"[1.0, 34.0, 4.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_5495,1,assistant,That's an important consideration.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7464926565336094,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.07142857142857142, ""content_length"": 34}"
"Context: [assistant]: I can help you with that. | [user]: Thanks for the explanation! | Turn 13, Budget: premium | Current: [assistant]: I understand your situation.",0,store,"[13.0, 28.0, 4.0, 1.0, 0.9285714285714286, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_2474,13,assistant,I understand your situation.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5015879819034413,"{""template"": ""business_consultation"", ""turn_ratio"": 0.7647058823529411, ""content_length"": 28}"
"Context: [user]: What would you recommend for situation? | [assistant]: That's an important consideration. | Turn 4, Budget: standard | Current: [user]: I appreciate your help",0,store,"[4.0, 22.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_9767,4,user,I appreciate your help,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7271131394651962,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.3333333333333333, ""content_length"": 22}"
"Context: [assistant]: Working at StartupCo must be exciting. | [user]: That's very helpful | Turn 5, Budget: standard | Current: [assistant]: Nice to meet you! San Francisco is a great place for consultants.",0,store,"[5.0, 65.0, 12.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_7636,5,assistant,Nice to meet you! San Francisco is a great place for consultants.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8280822649627944,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.7142857142857143, ""content_length"": 65}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: I see",2,drop,"[0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_2059,0,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6233126299485396,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 5}"
"Context: [user]: That's very helpful | [assistant]: Your interests in technology, photography align well with your profession. | Turn 8, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[8.0, 27.0, 4.0, 0.0, 0.8888888888888888, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_8442,8,user,Thanks for the explanation!,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7834217198622379,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: The logs show log_message and I'm not sure what it means",0,store,"[0.0, 56.0, 11.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",troubleshooting_session_8036,0,user,The logs show log_message and I'm not sure what it means,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7071770987528276,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.0, ""content_length"": 56}"
"Context: [user]: I appreciate your help | [assistant]: I can help you with that. | Turn 6, Budget: premium | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_1191,6,user,That's very helpful,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5439292443669603,"{""template"": ""business_consultation"", ""turn_ratio"": 0.5, ""content_length"": 19}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: That's very helpful | Turn 5, Budget: standard | Current: [assistant]: Let me provide some guidance on that.",0,store,"[5.0, 37.0, 7.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",troubleshooting_session_6661,5,assistant,Let me provide some guidance on that.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6247687775296245,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.625, ""content_length"": 37}"
"Context: [assistant]: That's an important consideration. | [user]: I'm particularly interested in aspect | Turn 3, Budget: premium | Current: [assistant]: I understand your situation.",0,store,"[3.0, 28.0, 4.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_5490,3,assistant,I understand your situation.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5513334201224747,"{""template"": ""business_consultation"", ""turn_ratio"": 0.17647058823529413, ""content_length"": 28}"
"Context: [user]: I appreciate your help | [assistant]: Your interests in startups, machine learning align well with your profession. | Turn 10, Budget: standard | Current: [user]: That's very helpful",0,store,"[10.0, 19.0, 3.0, 0.0, 0.9090909090909091, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_4177,10,user,That's very helpful,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8689117070164049,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.8333333333333334, ""content_length"": 19}"
"Context: [user]: That's very helpful | [assistant]: I can help you with that. | Turn 8, Budget: premium | Current: [user]: That's very helpful",0,store,"[8.0, 19.0, 3.0, 0.0, 0.8888888888888888, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_8754,8,user,That's very helpful,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6811327614102056,"{""template"": ""business_consultation"", ""turn_ratio"": 0.5333333333333333, ""content_length"": 19}"
